confidence,detection Class,matched gt class,TP/FP,tp,fp,acc tp,acc fp,precesion,recall
0.990253,car,car,TP,,,,,,
0.9694755,cyclist,cyclist,TP,,,,,,
0.91433364,cyclist,cyclist,TP,,,,,,
0.22526279,car,None,FP,,,,,,
0.16135843,car,None,FP,,,,,,
0.15937929,car,None,FP,,,,,,
0.12631434,cyclist,None,FP,,,,,,
0.10302985,car,None,FP,,,,,,
0.10214172,car,None,FP,,,,,,
0.10086984,car,None,FP,,,,,,
0.9907816,car,car,TP,,,,,,
0.9814834,cyclist,cyclist,TP,,,,,,
0.9239879,cyclist,cyclist,TP,,,,,,
0.19409028,car,None,FP,,,,,,
0.18308106,car,None,FP,,,,,,
0.17860633,car,None,FP,,,,,,
0.15583642,car,car,TP,,,,,,
0.1367555,car,None,FP,,,,,,
0.13065593,car,None,FP,,,,,,
0.12339916,car,None,FP,,,,,,
0.11788993,car,None,FP,,,,,,
0.108235456,car,None,FP,,,,,,
0.107841246,car,None,FP,,,,,,
0.9955,car,car,TP,,,,,,
0.9649025,cyclist,cyclist,TP,,,,,,
0.93017477,cyclist,cyclist,TP,,,,,,
0.17090215,car,None,FP,,,,,,
0.15658517,car,None,FP,,,,,,
0.13238609,car,None,FP,,,,,,
0.13070558,cyclist,None,FP,,,,,,
0.12465811,car,None,FP,,,,,,
0.12385364,car,None,FP,,,,,,
0.12121431,car,None,FP,,,,,,
0.11681895,car,None,FP,,,,,,
0.1151518,car,None,FP,,,,,,
0.11005528,car,None,FP,,,,,,
0.10854942,car,None,FP,,,,,,
0.10474347,car,None,FP,,,,,,
0.10178018,car,None,FP,,,,,,
0.98316723,car,car,TP,,,,,,
0.96928763,cyclist,cyclist,TP,,,,,,
0.852532,cyclist,cyclist,TP,,,,,,
0.8438567,car,car,TP,,,,,,
0.21929759,car,None,FP,,,,,,
0.20844887,car,None,FP,,,,,,
0.18999766,car,None,FP,,,,,,
0.1896557,car,None,FP,,,,,,
0.18706213,car,None,FP,,,,,,
0.15439123,car,None,FP,,,,,,
0.14310221,car,None,FP,,,,,,
0.120911755,car,None,FP,,,,,,
0.120877296,car,None,FP,,,,,,
0.9955167,car,car,TP,,,,,,
0.9891803,car,car,TP,,,,,,
0.9527899,cyclist,cyclist,TP,,,,,,
0.8211223,cyclist,cyclist,TP,,,,,,
0.44404083,car,None,FP,,,,,,
0.26502275,car,None,FP,,,,,,
0.18993375,car,None,FP,,,,,,
0.15411201,car,None,FP,,,,,,
0.120042525,car,None,FP,,,,,,
0.11494958,car,None,FP,,,,,,
0.977793,car,car,TP,,,,,,
0.94502,cyclist,cyclist,TP,,,,,,
0.926964,cyclist,cyclist,TP,,,,,,
0.81245756,car,car,TP,,,,,,
0.23608314,car,None,FP,,,,,,
0.18134552,cyclist,None,FP,,,,,,
0.16286469,car,None,FP,,,,,,
0.14916348,car,None,FP,,,,,,
0.11679903,car,None,FP,,,,,,
0.10842591,car,None,FP,,,,,,
0.101205125,car,None,FP,,,,,,
0.9950925,car,car,TP,,,,,,
0.9766558,car,car,TP,,,,,,
0.94302064,cyclist,cyclist,TP,,,,,,
0.9135988,cyclist,cyclist,TP,,,,,,
0.36201727,cyclist,None,FP,,,,,,
0.15567571,car,None,FP,,,,,,
0.15205051,car,None,FP,,,,,,
0.15036362,car,None,FP,,,,,,
0.14145778,car,None,FP,,,,,,
0.12735544,car,None,FP,,,,,,
0.124085665,cyclist,None,FP,,,,,,
0.119645745,car,None,FP,,,,,,
0.10760113,car,None,FP,,,,,,
0.10614904,cyclist,None,FP,,,,,,
0.1058043,car,None,FP,,,,,,
0.98521996,cyclist,cyclist,TP,,,,,,
0.9707748,car,car,TP,,,,,,
0.8802764,cyclist,cyclist,TP,,,,,,
0.6531257,car,None,FP,,,,,,
0.5910611,cyclist,None,FP,,,,,,
0.117905505,car,None,FP,,,,,,
0.1105839,car,None,FP,,,,,,
0.10760528,car,None,FP,,,,,,
0.103933044,car,None,FP,,,,,,
0.9086298,cyclist,cyclist,TP,,,,,,
0.8450971,car,car,TP,,,,,,
0.84028524,cyclist,cyclist,TP,,,,,,
0.83082384,car,None,FP,,,,,,
0.7513123,cyclist,None,FP,,,,,,
0.2152955,car,None,FP,,,,,,
0.15371993,car,None,FP,,,,,,
0.13361342,cyclist,None,FP,,,,,,
0.10654367,car,None,FP,,,,,,
0.10554791,car,None,FP,,,,,,
0.9144515,cyclist,cyclist,TP,,,,,,
0.8583257,car,car,TP,,,,,,
0.77880263,car,car,TP,,,,,,
0.67680925,cyclist,None,FP,,,,,,
0.54899734,cyclist,cyclist,TP,,,,,,
0.22652733,car,None,FP,,,,,,
0.13133256,car,None,FP,,,,,,
0.12803069,car,None,FP,,,,,,
0.122101665,car,None,FP,,,,,,
0.11215787,car,None,FP,,,,,,
0.10448946,car,None,FP,,,,,,
0.10428521,car,None,FP,,,,,,
0.10414936,car,None,FP,,,,,,
0.997666,car,car,TP,,,,,,
0.9706956,cyclist,cyclist,TP,,,,,,
0.93251383,cyclist,cyclist,TP,,,,,,
0.9066501,car,None,FP,,,,,,
0.871806,cyclist,cyclist,TP,,,,,,
0.27487293,car,None,FP,,,,,,
0.25268,car,None,FP,,,,,,
0.23328878,car,None,FP,,,,,,
0.22332071,car,None,FP,,,,,,
0.21334344,cyclist,None,FP,,,,,,
0.20557085,car,None,FP,,,,,,
0.19045329,car,None,FP,,,,,,
0.15404548,car,None,FP,,,,,,
0.99876654,car,car,TP,,,,,,
