confidence,detection Class,matched gt class,TP/FP,tp,fp,acc tp,acc fp,precesion,recall
0.99228525,car,car,TP,1,0,1,0,1.0,0.005208333333333333
0.9914097,car,car,TP,1,0,2,0,1.0,0.010416666666666666
0.9900849,car,car,TP,1,0,3,0,1.0,0.015625
0.9898538,car,None,FP,0,1,3,1,0.75,0.015625
0.9881313,car,car,TP,1,0,4,1,0.8,0.020833333333333332
0.9866938,car,car,TP,1,0,5,1,0.8333333333333334,0.026041666666666668
0.9862563,car,None,FP,0,1,5,2,0.7142857142857143,0.026041666666666668
0.9861936,car,car,TP,1,0,6,2,0.75,0.03125
0.98605204,car,None,FP,0,1,6,3,0.6666666666666666,0.03125
0.98536545,car,car,TP,1,0,7,3,0.7,0.036458333333333336
0.9853426,car,None,FP,0,1,7,4,0.6363636363636364,0.036458333333333336
0.9849979,car,car,TP,1,0,8,4,0.6666666666666666,0.041666666666666664
0.98495114,car,None,FP,0,1,8,5,0.6153846153846154,0.041666666666666664
0.9816761,car,None,FP,0,1,8,6,0.5714285714285714,0.041666666666666664
0.9810909,car,car,TP,1,0,9,6,0.6,0.046875
0.9799826,car,None,FP,0,1,9,7,0.5625,0.046875
0.9799309,car,car,TP,1,0,10,7,0.5882352941176471,0.052083333333333336
0.97655004,car,None,FP,0,1,10,8,0.5555555555555556,0.052083333333333336
0.9764513,car,None,FP,0,1,10,9,0.5263157894736842,0.052083333333333336
0.97559637,car,car,TP,1,0,11,9,0.55,0.057291666666666664
0.9750013,car,None,FP,0,1,11,10,0.5238095238095238,0.057291666666666664
0.97461075,car,car,TP,1,0,12,10,0.5454545454545454,0.0625
0.9737533,car,car,TP,1,0,13,10,0.5652173913043478,0.06770833333333333
0.97278214,car,None,FP,0,1,13,11,0.5416666666666666,0.06770833333333333
0.97181386,car,car,TP,1,0,14,11,0.56,0.07291666666666667
0.9707226,car,car,TP,1,0,15,11,0.5769230769230769,0.078125
0.9689831,car,car,TP,1,0,16,11,0.5925925925925926,0.08333333333333333
0.9673387,car,None,FP,0,1,16,12,0.5714285714285714,0.08333333333333333
0.9668611,car,car,TP,1,0,17,12,0.5862068965517241,0.08854166666666667
0.96459645,car,car,TP,1,0,18,12,0.6,0.09375
0.9631882,car,car,TP,1,0,19,12,0.6129032258064516,0.09895833333333333
0.96297854,car,car,TP,1,0,20,12,0.625,0.10416666666666667
0.9607773,car,None,FP,0,1,20,13,0.6060606060606061,0.10416666666666667
0.95767856,car,car,TP,1,0,21,13,0.6176470588235294,0.109375
0.956624,car,car,TP,1,0,22,13,0.6285714285714286,0.11458333333333333
0.9559905,car,car,TP,1,0,23,13,0.6388888888888888,0.11979166666666667
0.9558435,car,car,TP,1,0,24,13,0.6486486486486487,0.125
0.95253825,car,None,FP,0,1,24,14,0.631578947368421,0.125
0.9496933,car,car,TP,1,0,25,14,0.6410256410256411,0.13020833333333334
0.9495368,car,car,TP,1,0,26,14,0.65,0.13541666666666666
0.94828844,car,car,TP,1,0,27,14,0.6585365853658537,0.140625
0.94751674,car,car,TP,1,0,28,14,0.6666666666666666,0.14583333333333334
0.9439735,car,None,FP,0,1,28,15,0.6511627906976745,0.14583333333333334
0.9433028,car,car,TP,1,0,29,15,0.6590909090909091,0.15104166666666666
0.94262546,car,car,TP,1,0,30,15,0.6666666666666666,0.15625
0.93999726,car,car,TP,1,0,31,15,0.6739130434782609,0.16145833333333334
0.9396654,car,car,TP,1,0,32,15,0.6808510638297872,0.16666666666666666
0.9391586,car,car,TP,1,0,33,15,0.6875,0.171875
0.9373197,car,car,TP,1,0,34,15,0.6938775510204082,0.17708333333333334
0.93386775,car,car,TP,1,0,35,15,0.7,0.18229166666666666
0.9316603,car,None,FP,0,1,35,16,0.6862745098039216,0.18229166666666666
0.92920315,car,car,TP,1,0,36,16,0.6923076923076923,0.1875
0.924307,car,car,TP,1,0,37,16,0.6981132075471698,0.19270833333333334
0.92378163,car,car,TP,1,0,38,16,0.7037037037037037,0.19791666666666666
0.9180191,car,car,TP,1,0,39,16,0.7090909090909091,0.203125
