confidence,detection Class,matched gt class,TP/FP,tp,fp,acc tp,acc fp,precesion,recall
0.98521996,cyclist,cyclist,TP,1,0,1,0,1.0,0.00980392156862745
0.9817152,cyclist,cyclist,TP,1,0,2,0,1.0,0.0196078431372549
0.9814834,cyclist,cyclist,TP,1,0,3,0,1.0,0.029411764705882353
0.97664714,cyclist,cyclist,TP,1,0,4,0,1.0,0.0392156862745098
0.9706956,cyclist,cyclist,TP,1,0,5,0,1.0,0.049019607843137254
0.9694755,cyclist,cyclist,TP,1,0,6,0,1.0,0.058823529411764705
0.96928763,cyclist,cyclist,TP,1,0,7,0,1.0,0.06862745098039216
0.9692314,cyclist,None,FP,0,1,7,1,0.875,0.06862745098039216
0.9676563,cyclist,cyclist,TP,1,0,8,1,0.8888888888888888,0.0784313725490196
0.9649025,cyclist,cyclist,TP,1,0,9,1,0.9,0.08823529411764706
0.9633726,cyclist,cyclist,TP,1,0,10,1,0.9090909090909091,0.09803921568627451
0.96296704,cyclist,cyclist,TP,1,0,11,1,0.9166666666666666,0.10784313725490197
0.9582464,cyclist,cyclist,TP,1,0,12,1,0.9230769230769231,0.11764705882352941
0.95625484,cyclist,cyclist,TP,1,0,13,1,0.9285714285714286,0.12745098039215685
0.9548857,cyclist,cyclist,TP,1,0,14,1,0.9333333333333333,0.13725490196078433
0.9537119,cyclist,cyclist,TP,1,0,15,1,0.9375,0.14705882352941177
0.9527899,cyclist,cyclist,TP,1,0,16,1,0.9411764705882353,0.1568627450980392
0.9516167,cyclist,cyclist,TP,1,0,17,1,0.9444444444444444,0.16666666666666666
0.95135814,cyclist,cyclist,TP,1,0,18,1,0.9473684210526315,0.17647058823529413
0.95111436,cyclist,cyclist,TP,1,0,19,1,0.95,0.18627450980392157
0.94575816,cyclist,cyclist,TP,1,0,20,1,0.9523809523809523,0.19607843137254902
0.94502,cyclist,cyclist,TP,1,0,21,1,0.9545454545454546,0.20588235294117646
0.94409937,cyclist,cyclist,TP,1,0,22,1,0.9565217391304348,0.21568627450980393
0.94302064,cyclist,cyclist,TP,1,0,23,1,0.9583333333333334,0.22549019607843138
0.941266,cyclist,cyclist,TP,1,0,24,1,0.96,0.23529411764705882
0.94081545,cyclist,cyclist,TP,1,0,25,1,0.9615384615384616,0.24509803921568626
0.93735623,cyclist,cyclist,TP,1,0,26,1,0.9629629629629629,0.2549019607843137
0.9351748,cyclist,cyclist,TP,1,0,27,1,0.9642857142857143,0.2647058823529412
0.933434,cyclist,cyclist,TP,1,0,28,1,0.9655172413793104,0.27450980392156865
0.93251383,cyclist,cyclist,TP,1,0,29,1,0.9666666666666667,0.28431372549019607
0.9305492,cyclist,cyclist,TP,1,0,30,1,0.967741935483871,0.29411764705882354
0.93017477,cyclist,cyclist,TP,1,0,31,1,0.96875,0.30392156862745096
0.9296992,cyclist,cyclist,TP,1,0,32,1,0.9696969696969697,0.3137254901960784
0.9271359,cyclist,cyclist,TP,1,0,33,1,0.9705882352941176,0.3235294117647059
0.926964,cyclist,cyclist,TP,1,0,34,1,0.9714285714285714,0.3333333333333333
0.92690194,cyclist,cyclist,TP,1,0,35,1,0.9722222222222222,0.3431372549019608
0.9239879,cyclist,cyclist,TP,1,0,36,1,0.972972972972973,0.35294117647058826
0.9233426,cyclist,cyclist,TP,1,0,37,1,0.9736842105263158,0.3627450980392157
0.92228985,cyclist,cyclist,TP,1,0,38,1,0.9743589743589743,0.37254901960784315
0.91484725,cyclist,cyclist,TP,1,0,39,1,0.975,0.38235294117647056
0.9144515,cyclist,cyclist,TP,1,0,40,1,0.975609756097561,0.39215686274509803
0.91433364,cyclist,cyclist,TP,1,0,41,1,0.9761904761904762,0.4019607843137255
0.9142977,cyclist,cyclist,TP,1,0,42,1,0.9767441860465116,0.4117647058823529
0.9135988,cyclist,cyclist,TP,1,0,43,1,0.9772727272727273,0.4215686274509804
0.9115902,cyclist,cyclist,TP,1,0,44,1,0.9777777777777777,0.43137254901960786
0.9097264,cyclist,cyclist,TP,1,0,45,1,0.9782608695652174,0.4411764705882353
0.9086298,cyclist,cyclist,TP,1,0,46,1,0.9787234042553191,0.45098039215686275
0.8932268,cyclist,cyclist,TP,1,0,47,1,0.9791666666666666,0.46078431372549017
0.89142585,cyclist,cyclist,TP,1,0,48,1,0.9795918367346939,0.47058823529411764
0.8802764,cyclist,cyclist,TP,1,0,49,1,0.98,0.4803921568627451
0.8757044,cyclist,cyclist,TP,1,0,50,1,0.9803921568627451,0.49019607843137253
0.8731588,cyclist,None,FP,0,1,50,2,0.9615384615384616,0.49019607843137253
0.871806,cyclist,cyclist,TP,1,0,51,2,0.9622641509433962,0.5
0.8670324,cyclist,cyclist,TP,1,0,52,2,0.9629629629629629,0.5098039215686274
0.85299075,cyclist,cyclist,TP,1,0,53,2,0.9636363636363636,0.5196078431372549
0.852532,cyclist,cyclist,TP,1,0,54,2,0.9642857142857143,0.5294117647058824
